School Name,Rank in America,District,School Grade Level,Rating,User Reviews,Overall Niche Grade,School Strength,Student Teacher Ratio,Extracted Date
Richard Milburn Academy - Fort Worth,nan,"Richard Milburn Academy (Fort Worth), TX",9-12,nan,nan,C,201,18:1,2019-03-14 09:09:07.817787
Lockhart High School,nan,"Lockhart Independent School District, TX",9-12,3.5,143,C,"1,086",15:1,2019-03-14 09:09:07.817794
Oleson Elementary School,nan,"Aldine Independent School District, TX",K-4,nan,nan,C,"1,057",16:1,2019-03-14 09:09:07.817800
Raul Quintanilla Sr. Middle School,nan,"Dallas Independent School District, TX",6-8,3.0,3,C,"1,082",15:1,2019-03-14 09:09:07.817806
Bowie High School,nan,"El Paso Independent School District, TX",9-12,4.0,96,C,"1,348",16:1,2019-03-14 09:09:07.817812
Legacy Preparatory Charter Academy Mesquite Campus,nan,"Legacy Preparatory, TX",6-10,3.0,7,C,348,15:1,2019-03-14 09:09:07.817818
W.A. Todd Middle School,nan,"Donna Independent School District, TX",6-8,nan,nan,C,889,11:1,2019-03-14 09:09:07.817824
Benavides Secondary School,nan,"Benavides Independent School District, TX",7-12,3.5,14,C,182,12:1,2019-03-14 09:09:07.817831
La Fe Preparatory School,nan,"El Paso, TX","PK, K-8",nan,nan,C,262,10:1,2019-03-14 09:09:07.817837
Gateway Academy - Sierra Vista Campus,nan,"Laredo, TX",9-12,4.5,3,C,128,18:1,2019-03-14 09:09:07.817847
Martin Luther King Jr. Learning Center,nan,"Dallas Independent School District, TX","PK, K-5",nan,nan,C,493,15:1,2019-03-14 09:09:07.817853
Cooke Elementary School,nan,"Cleburne Independent School District, TX",K-5,4.0,1,C,509,13:1,2019-03-14 09:09:07.817859
Hopkins Elementary School,nan,"Victoria Independent School District, TX","PK, K-5",nan,nan,C,509,15:1,2019-03-14 09:09:07.817865
Rufus C. Burleson Elementary School,nan,"Dallas Independent School District, TX","PK, K-5",nan,nan,C,740,17:1,2019-03-14 09:09:07.817871
Besteiro Middle School,nan,"Brownsville Independent School District, TX",6-8,2.0,1,C,755,13:1,2019-03-14 09:09:07.817876
Fred F. Florence Middle School,nan,"Dallas Independent School District, TX",6-8,4.0,1,C,839,15:1,2019-03-14 09:09:07.817882
Crystal City High School,nan,"Crystal City Independent School District, TX",9-12,3.5,39,C,515,14:1,2019-03-14 09:09:07.817888
Grulla Middle School,nan,"Rio Grande City Consolidated Independent School District, TX",6-8,nan,nan,C,697,11:1,2019-03-14 09:09:07.817895
T.A. Sims Elementary School,nan,"Fort Worth Independent School District, TX","PK, K-5",3.0,1,C,783,18:1,2019-03-14 09:09:07.817901
West Handley Elementary School,nan,"Fort Worth Independent School District, TX","PK, K-5",nan,nan,C,614,18:1,2019-03-14 09:09:07.817907
Jose Bernabe Munoz Elementary School,nan,"La Villa Independent School District, TX","PK, K-5",nan,nan,C,289,15:1,2019-03-14 09:09:07.817913
Zapata South Elementary School,nan,"Zapata County Independent School District, TX","PK, K-5",nan,nan,C,624,19:1,2019-03-14 09:09:07.817920
Oliver Wendell Holmes Humanities/Communications Academy,nan,"Dallas Independent School District, TX",6-8,nan,nan,C,711,13:1,2019-03-14 09:09:07.817926
Fort Worth Can Academy Lancaster Avenue Campus,nan,"Fort Worth, TX",9-12,4.0,1,C,230,13:1,2019-03-14 09:09:07.817933
Tornillo Intermediate School,nan,"Tornillo Independent School District, TX",4-6,nan,nan,C,280,14:1,2019-03-14 09:09:07.817939
E.T. Wrenn Middle School,nan,"Edgewood Independent School District (San Antonio), TX",6-8,5.0,1,C,657,17:1,2019-03-14 09:09:07.817946
John C. Webb Elementary School,nan,"Navasota Independent School District, TX","PK, K-5",nan,nan,C,799,15:1,2019-03-14 09:09:07.817952
Ireland Elementary School,nan,"Ector County Independent School District, TX",K-5,2.5,2,C,463,14:1,2019-03-14 09:09:07.817958
Cypresswood Elementary School,nan,"Aldine Independent School District, TX",K-4,nan,nan,C,887,17:1,2019-03-14 09:09:07.817965
Harmony School of Innovation - Austin,nan,"Austin, TX",K-5,nan,nan,C,468,19:1,2019-03-14 09:09:07.817971
Wilmer-Hutchins Elementary School,nan,"Dallas Independent School District, TX","PK, K-5",3.0,1,C,"1,026",17:1,2019-03-14 09:09:07.817977
Sharon Christa McAuliffe Middle School,nan,"Southwest Independent School District, TX",6-8,nan,nan,C,879,13:1,2019-03-14 09:09:07.817983
Holland Middle School,nan,"Houston Independent School District, TX",6-8,4.5,2,C,688,18:1,2019-03-14 09:09:07.817989
Birdie Alexander Elementary School,nan,"Dallas Independent School District, TX","PK, K-5",nan,nan,C,403,16:1,2019-03-14 09:09:07.817995
John F. Kennedy School,nan,"Mercedes Independent School District, TX",6-7,2.5,7,C,427,11:1,2019-03-14 09:09:07.818001
Crestview Elementary School,nan,"Waco Independent School District, TX","PK, K-5",nan,nan,C,767,18:1,2019-03-14 09:09:07.818007
Lake Worth High School,nan,"Lake Worth Independent School District, TX",9-12,3.0,95,C,766,15:1,2019-03-14 09:09:07.818013
Lueders-Avoca Elementary/Junior High School,nan,"Lueders-Avoca Independent School District, TX","PK, K-8",nan,nan,C,87,9:1,2019-03-14 09:09:07.818019
Highland Forest Elementary School,nan,"East Central Independent School District, TX",K-3,nan,nan,C,523,16:1,2019-03-14 09:09:07.818026
San Felipe Memorial Middle School,nan,"San Felipe-Del Rio Consolidated Independent School District, TX",nan,nan,nan,C,771,18:1,2019-03-14 09:09:07.818032
Mark Twain Leadership Vanguard,nan,"Dallas Independent School District, TX","PK, K-5",nan,nan,C,327,11:1,2019-03-14 09:09:07.818038
Mitchell Elementary School,nan,"Houston Independent School District, TX","PK, K-5",5.0,1,C,553,17:1,2019-03-14 09:09:07.818045
Somerset Elementary School,nan,"Somerset Independent School District, TX",1-4,nan,nan,C,698,14:1,2019-03-14 09:09:07.818051
Kirby Middle School,nan,"Judson Independent School District, TX",6-8,3.5,6,C,819,14:1,2019-03-14 09:09:07.818057
Bush Elementary School,nan,"Midland Independent School District, TX","PK, K-6",nan,nan,C,451,15:1,2019-03-14 09:09:07.818062
Big Spring Junior High School,nan,"Big Spring Independent School District, TX",7-8,4.0,1,C,649,14:1,2019-03-14 09:09:07.818069
Yarbrough Elementary School,nan,"Midland Independent School District, TX","PK, K-6",nan,nan,C,720,19:1,2019-03-14 09:09:07.818075
O&aposHara Lanier Middle School,nan,"Brazosport Independent School District, TX",5-6,4.0,7,C,452,14:1,2019-03-14 09:09:07.818082
South Garland High School,nan,"Garland Independent School District, TX",9-12,3.5,282,C,"2,247",14:1,2019-03-14 09:09:07.818097
La Joya Palmview High School,nan,"La Joya Independent School District, TX",9-12,3.5,400,C,"2,171",14:1,2019-03-14 09:09:07.818104
Herbert Marcus Elementary School,nan,"Dallas Independent School District, TX","PK, K-5",nan,nan,C,938,15:1,2019-03-14 09:09:07.818110
Somerville Elementary School,nan,"Somerville Independent School District, TX","PK, K-6",nan,nan,C,276,12:1,2019-03-14 09:09:07.818116
Shadowglen Elementary School,nan,"Manor Independent School District, TX",nan,nan,nan,C,741,—,2019-03-14 09:09:07.818122
Glencrest Sixth Grade School,nan,"Fort Worth Independent School District, TX",nan,nan,nan,C,414,16:1,2019-03-14 09:09:07.818131
Calvert School,nan,"Calvert Independent School District, TX","PK, K-12",3.5,5,C,156,8:1,2019-03-14 09:09:07.818137
Ben Bolt Middle School,nan,"Ben Bolt-Palito Blanco Independent School District, TX",4-8,nan,nan,C,210,12:1,2019-03-14 09:09:07.818143
Maude I. Logan Elementary School,nan,"Fort Worth Independent School District, TX","PK, K-5",nan,nan,C,502,17:1,2019-03-14 09:09:07.818149
Bruce Elementary School,nan,"Houston Independent School District, TX","PK, K-5",nan,nan,C,620,17:1,2019-03-14 09:09:07.818156
Roosevelt Elementary School,nan,"Edgewood Independent School District (San Antonio), TX",K-5,nan,nan,C,564,17:1,2019-03-14 09:09:07.818162
Daniel Webster Elementary School,nan,"Dallas Independent School District, TX","PK, K-5",nan,nan,C,762,16:1,2019-03-14 09:09:07.818168
Central Elementary School,nan,"Duncanville Independent School District, TX","PK, K-4",nan,nan,C,587,15:1,2019-03-14 09:09:07.818174
Lakeview Elementary School,nan,"Port Arthur Independent School District, TX","PK, K-5",nan,nan,C,789,19:1,2019-03-14 09:09:07.818180
Adelle Turner Elementary School,nan,"Dallas Independent School District, TX","PK, K-5",nan,nan,C,357,14:1,2019-03-14 09:09:07.818186
M.L. King Academy,nan,"San Antonio Independent School District, TX","PK, K-8",nan,nan,C,473,15:1,2019-03-14 09:09:07.818208
Hector P. Garcia Middle School,nan,"Dallas Independent School District, TX",6-8,4.0,26,C,835,16:1,2019-03-14 09:09:07.818214
Dr. Javier Saenz Middle School,nan,"La Joya Independent School District, TX",6-9,nan,nan,C,792,13:1,2019-03-14 09:09:07.818221
Thomas A. Edison Middle Learning Center,nan,"Dallas Independent School District, TX",6-8,nan,nan,C,500,10:1,2019-03-14 09:09:07.818234
Harrel Elementary School,nan,"Kingsville Independent School District, TX","PK, K-4",nan,nan,C,318,16:1,2019-03-14 09:09:07.818240
Atwood McDonald Elementary School,nan,"Fort Worth Independent School District, TX","PK, K-5",nan,nan,C,572,17:1,2019-03-14 09:09:07.818246
Port Houston Elementary School,nan,"Houston Independent School District, TX","PK, K-5",nan,nan,C,321,14:1,2019-03-14 09:09:07.818252
Marshall Middle School,nan,"Houston Independent School District, TX",6-8,3.0,2,C,921,18:1,2019-03-14 09:09:07.818259
J.T. Brackenridge Elementary School,nan,"San Antonio Independent School District, TX","PK, K-5",nan,nan,C,769,17:1,2019-03-14 09:09:07.818266
Merrifield Elementary School,nan,"Duncanville Independent School District, TX","PK, K-4",nan,nan,C,512,15:1,2019-03-14 09:09:07.818272
Elgin Middle School,nan,"Elgin Independent School District, TX",6-8,nan,nan,C,954,17:1,2019-03-14 09:09:07.818279
Thomas J. Rusk Middle School,nan,"Dallas Independent School District, TX",6-8,nan,nan,C,563,14:1,2019-03-14 09:09:07.818285
Stevens Elementary School,nan,"Houston Independent School District, TX","PK, K-5",nan,nan,C,731,18:1,2019-03-14 09:09:07.818291
Driscoll Middle School,nan,"Corpus Christi Independent School District, TX",6-8,nan,nan,C,768,15:1,2019-03-14 09:09:07.818297
Zan Wesley Holmes Jr Middle School,nan,"Dallas Independent School District, TX",6-8,nan,nan,C,"1,141",16:1,2019-03-14 09:09:07.818303
Guillen Middle School,nan,"El Paso Independent School District, TX",6-8,nan,nan,C,841,16:1,2019-03-14 09:09:07.818310
Texas Leadership Charter Academy,nan,"Texas Leadership, TX",K-7,4.5,3,C,438,18:1,2019-03-14 09:09:07.818316
Falfurrias Junior High School,nan,"Brooks County Independent School District, TX",6-8,nan,nan,C,327,12:1,2019-03-14 09:09:07.818321
Goodrich Elementary School,nan,"Goodrich Independent School District, TX","PK, K-5",nan,nan,C,122,16:1,2019-03-14 09:09:07.818328
L C Smith Elementary School,nan,"Raymondville Independent School District, TX","PK, K-5",nan,nan,C,458,16:1,2019-03-14 09:09:07.818334
Five Palms Elementary School,nan,"South San Antonio Independent School District, TX","PK, K-5",nan,nan,C,399,15:1,2019-03-14 09:09:07.818341
Carmichael Elementary School,nan,"Aldine Independent School District, TX",K-4,2.5,2,C,961,17:1,2019-03-14 09:09:07.818349
Lewis Elementary School,nan,"Houston Independent School District, TX",1-5,nan,nan,C,898,18:1,2019-03-14 09:09:07.818355
Royal Elementary School,nan,"Royal Independent School District, TX",1-5,nan,nan,C,917,14:1,2019-03-14 09:09:07.818361
Vincent Middle School,nan,"Beaumont Independent School District, TX",6-8,3.0,1,C,625,13:1,2019-03-14 09:09:07.818367
Coop Elementary School,nan,"Houston Independent School District, TX","PK, K-5",nan,nan,C,751,17:1,2019-03-14 09:09:07.818372
John T. White Elementary School,nan,"Fort Worth Independent School District, TX","PK, K-5",nan,nan,C,746,16:1,2019-03-14 09:09:07.818378
Martin Middle School,nan,"Corpus Christi Independent School District, TX",6-8,4.0,1,C,641,16:1,2019-03-14 09:09:07.818385
Solomon P. Ortiz Intermediate School,nan,"Robstown Independent School District, TX",4-5,nan,nan,C,421,15:1,2019-03-14 09:09:07.818390
Booker T. Washington Elementary School,nan,"Elgin Independent School District, TX",K-5,nan,nan,C,612,16:1,2019-03-14 09:09:07.818396
Del Rio High School,nan,"San Felipe-Del Rio Consolidated Independent School District, TX",10-12,3.5,238,C,"2,181",17:1,2019-03-14 09:09:07.818403
Hutchins Elementary School,nan,"South San Antonio Independent School District, TX","PK, K-5",nan,nan,C,594,16:1,2019-03-14 09:09:07.818409
Bonham Elementary School,nan,"Houston Independent School District, TX","PK, K-5",nan,nan,C,"1,098",17:1,2019-03-14 09:09:07.818416
Mount Auburn Elementary School,nan,"Dallas Independent School District, TX","PK, K-5",nan,nan,C,732,15:1,2019-03-14 09:09:07.818423
Paso del Norte Academy - Ysleta,nan,"El Paso, TX",9-12,2.5,2,C,157,20:1,2019-03-14 09:09:07.818429
Harold W. Lang Sr. Middle School,nan,"Dallas Independent School District, TX",6-8,2.5,2,C,"1,049",17:1,2019-03-14 09:09:07.818435
Navasota Junior High School,nan,"Navasota Independent School District, TX",6-9,nan,nan,C,655,15:1,2019-03-14 09:09:07.818441
Codwell Elementary School,nan,"Houston Independent School District, TX","PK, K-5",nan,nan,C,463,14:1,2019-03-14 09:09:07.818447
Mid Valley Academy - McAllen,nan,"Mcallen, TX",9-12,nan,nan,C,120,22:1,2019-03-14 09:09:07.818454
Homer Drive Elementary School,nan,"Beaumont Independent School District, TX","PK, K-5",nan,nan,C,707,17:1,2019-03-14 09:09:07.818459
La Villa Middle School,nan,"La Villa Independent School District, TX",6-8,nan,nan,C,131,13:1,2019-03-14 09:09:07.818466
Santa Fe Elementary School,nan,"Cleburne Independent School District, TX","PK, K-5",nan,nan,C,440,13:1,2019-03-14 09:09:07.818472
Eckert Intermediate School,nan,"Aldine Independent School District, TX",5-6,nan,nan,C,821,16:1,2019-03-14 09:09:07.818478
Justin F. Kimball High School,nan,"Dallas Independent School District, TX",9-12,3.5,394,C,"1,480",16:1,2019-03-14 09:09:07.818484
Francisco Medrano Middle School,nan,"Dallas Independent School District, TX",6-8,nan,nan,C,909,15:1,2019-03-14 09:09:07.818490
Mading Elementary School,nan,"Houston Independent School District, TX","PK, K-5",nan,nan,C,601,17:1,2019-03-14 09:09:07.818496
Smith Elementary School,nan,"San Antonio Independent School District, TX","PK, K-5",nan,nan,C,446,15:1,2019-03-14 09:09:07.818502
Hebbronville Early College High School,nan,"Jim Hogg County Independent School District, TX",9-12,3.5,26,C,298,13:1,2019-03-14 09:09:07.818508
Stelle Claughton Middle School,nan,"Spring Independent School District, TX",6-8,3.5,5,C,"1,091",17:1,2019-03-14 09:09:07.818514
Las Americas Middle School,nan,"Houston Independent School District, TX",4-8,nan,nan,C,144,11:1,2019-03-14 09:09:07.818520
Broaddus Elementary School,nan,"Broaddus Independent School District, TX","PK, K-5",nan,nan,C,207,13:1,2019-03-14 09:09:07.818527
Baird Elementary School,nan,"Baird Independent School District, TX","PK, K-5",nan,nan,C,163,12:1,2019-03-14 09:09:07.818533
Whittier Middle School,nan,"San Antonio Independent School District, TX",6-8,4.5,2,C,885,18:1,2019-03-14 09:09:07.818539
Harris Academy,nan,"Aldine Independent School District, TX",K-4,nan,nan,C,771,18:1,2019-03-14 09:09:07.818545
Edwin M. Wells Middle School,nan,"Spring Independent School District, TX",6-8,1.0,2,C,"1,314",17:1,2019-03-14 09:09:07.818551
T. Price Elementary School,nan,"Donna Independent School District, TX","PK, K-5",nan,nan,C,467,18:1,2019-03-14 09:09:07.818557
Academy of Careers & Technologies Charter School,nan,"San Antonio, TX",9-12,3.5,12,C,193,21:1,2019-03-14 09:09:07.818562
McCamey Primary School,nan,"McCamey Independent School District, TX","PK, K-4",nan,nan,C,245,14:1,2019-03-14 09:09:07.818569
J.H. Moore Elementary School,nan,"Marshall Independent School District, TX",K-4,nan,nan,C,280,13:1,2019-03-14 09:09:07.818575
Burnet Elementary School,nan,"Ector County Independent School District, TX",K-5,nan,nan,C,578,16:1,2019-03-14 09:09:07.818581
Gillett Intermediate School,nan,"Kingsville Independent School District, TX",5-6,nan,nan,C,434,13:1,2019-03-14 09:09:07.818587
Bastian Elementary School,nan,"Houston Independent School District, TX","PK, K-5",nan,nan,C,643,17:1,2019-03-14 09:09:07.818593
La Marque Middle School,nan,"Texas City Independent School District, TX",6-8,nan,nan,C,280,18:1,2019-03-14 09:09:07.818599
M. Rivas Elementary School,nan,"Donna Independent School District, TX","PK, K-5",4.0,2,C,482,17:1,2019-03-14 09:09:07.818605
Houston Can Academy - North,nan,"Houston, TX",9-12,5.0,3,C,421,23:1,2019-03-14 09:09:07.818611
Eastern Hills High School,nan,"Fort Worth Independent School District, TX",9-12,3.5,219,C,"1,171",12:1,2019-03-14 09:09:07.818633
V.M. Adams Elementary School,nan,"Harlandale Independent School District, TX","PK, K-5",nan,nan,C,791,16:1,2019-03-14 09:09:07.818641
Mathis High School,nan,"Mathis Independent School District, TX",9-12,3.5,188,C,408,13:1,2019-03-14 09:09:07.818647
Cleveland High School,nan,"Cleveland Independent School District, TX",9-12,3.5,91,C,"1,042",16:1,2019-03-14 09:09:07.818654
The East Austin College Prep at Mlk,nan,"The East Austin College Prep Academy, TX",7-12,4.0,43,C,574,15:1,2019-03-14 09:09:07.818660
KIPP Generations Collegiate,nan,"Houston, TX",9-12,4.0,65,C,632,16:1,2019-03-14 09:09:07.818666
Billy Earl Dade Middle School,nan,"Dallas Independent School District, TX",6-8,nan,nan,C,803,13:1,2019-03-14 09:09:07.818672
John F. Kennedy High School,nan,"Edgewood Independent School District (San Antonio), TX",9-12,3.5,199,C,"1,346",18:1,2019-03-14 09:09:07.818679
Zapata Middle School,nan,"Zapata County Independent School District, TX",6-8,nan,nan,C,767,15:1,2019-03-14 09:09:07.818685
Thomas J. Rusk Elementary School,nan,"Nacogdoches Independent School District, TX",K-5,nan,nan,C,705,17:1,2019-03-14 09:09:07.818691
